"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI","Infl"
"Australia","1800.00000","","0.60800","","","","",""
"Australia","1801.00000","","0.72000","","","","",""
"Australia","1802.00000","","0.71600","","","","",""
"Australia","1803.00000","","0.76800","","","","",""
"Australia","1804.00000","","0.88400","","","","",""
"Australia","1805.00000","","0.95200","","","","",""
"Australia","1806.00000","","1.04400","","","","",""
"Australia","1807.00000","","1.11200","","","","",""
"Australia","1808.00000","","1.09600","","","","",""
"Australia","1809.00000","","1.18800","","","","",""
"Australia","1810.00000","","1.67200","","","","",""
"Australia","1811.00000","","1.56400","","","","",""
"Australia","1812.00000","","1.60400","","","","",""
"Australia","1813.00000","","1.67200","","","","",""
"Australia","1814.00000","","1.74400","","","","",""
"Australia","1815.00000","","2.12400","","","","",""
"Australia","1816.00000","","1.98000","","","","",""
"Australia","1817.00000","","2.21600","","","","",""
"Australia","1818.00000","","2.54000","","","","",""
"Australia","1819.00000","","2.78800","","","","","-2.96328"
"Australia","1820.00000","","3.01200","","173.00000","","","7.27417"
"Australia","1821.00000","","3.77600","","173.00000","","","-8.25423"
"Australia","1822.00000","","4.24000","","177.00000","","","4.80979"
"Australia","1823.00000","","4.45600","","183.00000","","","-21.92222"
"Australia","1824.00000","","4.97200","","195.00000","","","7.01284"
"Australia","1825.00000","","5.20000","","205.00000","","","10.64381"
"Australia","1826.00000","","5.60000","","207.00000","","","3.16698"
"Australia","1827.00000","","6.00000","","212.00000","","","-3.05784"
"Australia","1828.00000","","6.80000","","216.00000","","","20.22814"
"Australia","1829.00000","","7.60000","","228.00000","","","-8.92593"
"Australia","1830.00000","","8.80000","","280.00000","","","-33.80791"
"Australia","1831.00000","","9.20000","","292.00000","","","-7.82287"
"Australia","1832.00000","","9.60000","","303.00000","","","-9.89024"
"Australia","1833.00000","","11.20000","","314.00000","","","3.48835"
"Australia","1834.00000","","15.20000","","335.00000","","","27.12760"
"Australia","1835.00000","","20.40000","","410.00000","","","13.11773"
"Australia","1836.00000","","21.20000","","413.00000","","","23.66632"
"Australia","1837.00000","","22.40000","","440.00000","","","3.77361"
"Australia","1838.00000","","23.60000","","452.00000","","","2.01511"
"Australia","1839.00000","","28.00000","","438.00000","","","36.47015"
"Australia","1840.00000","","34.40000","","577.00000","","","-1.87235"
"Australia","1841.00000","","28.00000","","525.00000","","","-23.73599"
"Australia","1842.00000","","25.20000","","497.00000","","","-14.88313"
"Australia","1843.00000","","23.60000","","585.00000","","","-24.41936"
"Australia","1844.00000","","24.80000","","679.00000","","","-26.49728"
"Australia","1845.00000","","28.80000","","716.00000","","","-5.13233"
"Australia","1846.00000","","32.40000","","809.00000","","","41.47309"
"Australia","1847.00000","","34.40000","","960.00000","","","-19.52534"
"Australia","1848.00000","","40.40000","","1141.00000","","","-21.02503"
"Australia","1849.00000","","40.40000","","1207.00000","","","2.98570"
"Australia","1850.00000","","46.80000","","1195.00000","","","-2.00471"
"Australia","1851.00000","","54.80000","","1491.00000","","","-11.59830"
"Australia","1852.00000","0.41717","120.80000","","1952.00000","","","-0.56000"
"Australia","1853.00000","0.62811","176.00000","","2393.00000","","","9.79887"
"Australia","1854.00000","1.04495","206.40000","","2338.00000","","","57.42966"
"Australia","1855.00000","3.25808","203.60000","","2459.00000","","","10.48124"
"Australia","1856.00000","6.18387","207.20000","","3251.00000","","","-12.92442"
"Australia","1857.00000","7.62790","219.20000","","3114.00000","","","5.06047"
"Australia","1858.00000","8.43814","225.60000","","2837.00000","","","0.13815"
"Australia","1859.00000","12.42279","244.40000","","3793.00000","","","-6.18964"
"Australia","1860.00000","20.24280","254.40000","","3838.00000","","","5.07843"
"Australia","1861.00000","21.84603","258.00000","","3837.00000","","","-13.09946"
"Australia","1862.00000","23.39692","256.80000","","3786.00000","","","1.23910"
"Australia","1863.00000","21.81806","252.40000","","3910.00000","","","-8.57309"
"Australia","1864.00000","33.25299","260.00000","","4329.00000","","","-4.84658"
"Australia","1865.00000","32.32014","262.00000","","4303.00000","","","5.15646"
"Australia","1866.00000","35.74895","284.40000","","4575.00000","","","2.46707"
"Australia","1867.00000","42.05877","287.20000","","5120.00000","","","-11.71920"
"Australia","1868.00000","47.80056","306.00000","","5366.00000","","","-0.20207"
"Australia","1869.00000","51.37291","305.60000","","5414.00000","","","-1.30574"
"Australia","1870.00000","56.39517","326.80000","","5810.00000","","","-2.80947"
"Australia","1871.00000","60.14803","313.60000","","5525.00000","","","4.09679"
"Australia","1872.00000","58.00195","374.40000","","6119.00000","","","-2.71517"
"Australia","1873.00000","62.21367","436.00000","","6764.00000","","","1.82272"
"Australia","1874.00000","85.50182","440.00000","","6987.00000","","","3.97787"
"Australia","1875.00000","111.23520","476.00000","","7755.00000","","","-1.90460"
"Australia","1876.00000","74.81471","472.00000","","7730.00000","","","-2.68377"
"Australia","1877.00000","84.52426","480.00000","","8052.00000","","","4.39251"
"Australia","1878.00000","87.11743","504.00000","","8820.00000","","","-7.52558"
"Australia","1879.00000","107.80977","516.00000","","8944.00000","","","-8.07145"
"Australia","1880.00000","119.10565","536.00000","","9415.00000","","","7.35036"
"Australia","1881.00000","131.89062","568.00000","","10108.00000","","","-0.64627"
"Australia","1882.00000","137.66985","592.00000","","9539.00000","","","12.60711"
