"Country","Year","Debt1","Debt2","GDP1","GDP2","RGDP","Infl"
"Austria","1870.000","","","","","8418.909","21.471"
"Austria","1871.000","","","","","9028.635","12.816"
"Austria","1872.000","","","","","9098.988","3.717"
"Austria","1873.000","","","","","8887.929","15.800"
"Austria","1874.000","","","","","9286.596","-10.494"
"Austria","1875.000","","","","","9333.498","-23.616"
"Austria","1876.000","","","","","9544.557","113.811"
"Austria","1877.000","","","","","9872.871","12.901"
"Austria","1878.000","","","","","10201.185","-12.354"
"Austria","1879.000","","","","","10130.832","3.673"
"Austria","1880.000","4612.500","","6628.784","","10271.538","9.526"
"Austria","1881.000","4973.600","","6901.565","","10693.656","-1.364"
"Austria","1882.000","5181.400","","7134.662","","10764.009","0.922"
"Austria","1883.000","5272.300","","7164.304","","11209.578","-1.027"
"Austria","1884.000","5454.900","","7257.780","","11514.441","-2.537"
"Austria","1885.000","5553.600","","6979.950","","11444.088","-4.734"
"Austria","1886.000","5669.800","","6737.905","","11819.304","-1.863"
"Austria","1887.000","5992.800","","7205.872","","12640.089","-2.658"
"Austria","1888.000","5958.800","","7205.452","","12616.638","-0.130"
"Austria","1889.000","6126.500","","7126.840","","12499.383","1.953"
"Austria","1890.000","6357.900","","7464.199","","13179.462","0.255"
"Austria","1891.000","6698.200","","7770.113","","13648.482","2.420"
"Austria","1892.000","6678.000","","7427.156","","13953.345","-3.234"
"Austria","1893.000","6893.400","","7661.953","","14047.149","-0.386"
"Austria","1894.000","6861.000","","7815.690","","14867.934","-0.516"
"Austria","1895.000","6952.000","","8325.466","","15266.601","1.686"
"Austria","1896.000","6847.600","","7987.873","","15501.111","-3.954"
"Austria","1897.000","6860.000","","7890.973","","15829.425","2.523"
"Austria","1898.000","6862.400","","8417.309","","16720.563","3.238"
"Austria","1899.000","6942.800","","8873.478","","17072.328","0.000"
"Austria","1900.000","7227.300","","8906.445","","17213.034","-1.129"
"Austria","1901.000","7209.800","","8712.145","","17283.387","-1.269"
"Austria","1902.000","7217.600","","9117.445","","17963.466","-1.285"
"Austria","1903.000","7232.700","","9481.572","","18127.623","0.260"
"Austria","1904.000","7327.700","","9341.052","","18409.035","2.987"
"Austria","1905.000","7388.000","","10635.292","","19440.879","8.575"
"Austria","1906.000","7485.100","","11447.436","","20191.311","0.813"
"Austria","1907.000","7675.500","","12018.823","","21434.214","1.498"
"Austria","1908.000","7723.500","","12302.413","","21528.018","3.859"
"Austria","1909.000","7744.200","","12733.440","","21457.665","2.842"
"Austria","1910.000","9025.900","","13456.868","","21762.528","-0.319"
"Austria","1911.000","9152.900","","14164.739","","22442.607","6.077"
"Austria","1912.000","9334.500","","15213.728","","23568.255","1.005"
"Austria","1913.000","9516.100","","15038.550","","23451.000","-0.498"
"Austria","1914.000","","","","","19571.535","11.462"
"Austria","1915.000","","","","","18154.424"," "
"Austria","1916.000","","","","","17933.315"," "
"Austria","1917.000","","","","","17548.048"," "
"Austria","1918.000","","","","","17186.233"," "
"Austria","1919.000","287.100","","","","14502.768"," "
"Austria","1920.000","1727.400","","","","15571.464","125.000"
"Austria","1921.000","78809.600","","","","17236.485","855.556"
"Austria","1922.000","96.000","","","","18784.251","1732.994"
"Austria","1923.000","2085.500","","","","18596.643","18.857"
"Austria","1924.000","2232.200","","9260.000","","20754.135","21.796"
"Austria","1925.000","2180.600","","10290.000","","22161.195","0.000"
"Austria","1926.000","2207.000","","10280.000","","22536.411","9.476"
"Austria","1927.000","2422.100","","11110.000","","23216.490","2.882"
"Austria","1928.000","1884.200","","11680.000","","24295.236","1.872"
"Austria","1929.000","1865.800","","12090.000","","24647.001","3.666"
"Austria","1930.000","2229.200","","11560.000","","23966.922","-4.426"
"Austria","1931.000","2262.000","","10360.000","","22043.940","0.000"
"Austria","1932.000","2816.200","","9550.000","","19769.193","-0.925"
"Austria","1933.000","3287.800","","9020.000","","19112.565","-0.725"
"Austria","1934.000","3519.300","","8980.000","","19276.722","-1.465"
"Austria","1935.000","3691.600","","9140.000","","19651.938","0.746"
"Austria","1936.000","3394.800","","9320.000","","20238.213","-0.424"
"Austria","1937.000","3495.100","","9820.000","","21316.959","-0.317"
"Austria","1938.000","","","","","24037.275","-0.845"
"Austria","1939.000","","","","","27250.062"," "
"Austria","1940.000","","","","","26546.532"," "
"Austria","1941.000","","","","","28446.063"," "
"Austria","1942.000","","","","","27015.552"," "
"Austria","1943.000","","","","","27672.180"," "
"Austria","1944.000","","","","","28375.710"," "
"Austria","1945.000","2721.700","","","","11725.500"," "
"Austria","1946.000","13915.000","","","","13695.384","44.092"
"Austria","1947.000","12834.300","","","","15102.444","148.634"
"Austria","1948.000","11285.500","","32059.000","","19229.820","20.000"
"Austria","1949.000","10985.500","","41536.000","","22864.725","29.488"
"Austria","1950.000","11495.600","","51912.000","","25702.000","7.354"
"Austria","1951.000","10544.600","","69080.000","","27460.000","31.850"
"Austria","1952.000","10865.000","","80005.000","","27484.000","0.493"
"Austria","1953.000","13670.600","","82523.000","","28680.000","-0.490"
"Austria","1954.000","13353.800","","93592.000","","31611.000","3.448"
"Austria","1955.000","12745.800","","107155.000","","35105.000","1.905"
"Austria","1956.000","13020.100","","119190.000","","37520.000","3.738"
"Austria","1957.000","10957.400","","131949.000","","39818.000","0.974"
"Austria","1958.000","15931.000","","137422.000","","41272.000","1.770"
"Austria","1959.000","19783.000","","146325.000","","42445.000","0.473"
"Austria","1960.000","22151.000","","163253.000","","45939.000","0.783"
"Austria","1961.000","22400.000","","180761.000","","48378.000","5.345"
"Austria","1962.000","23017.000","","192349.000","","49550.000","2.306"
"Austria","1963.000","25062.000","","207319.000","","51567.000","4.238"
