"Country","Year","Debt","GDPalt","GDP1","GDP2","RGDP1","RGDP2"
"Belgium","1830.000","0.620","","","","",""
"Belgium","1831.000","1.785","","","","",""
"Belgium","1832.000","3.074","","","","",""
"Belgium","1833.000","3.297","","","","",""
"Belgium","1834.000","3.272","","","","",""
"Belgium","1835.000","3.495","1496.531","37.098","","1524.908",""
"Belgium","1836.000","4.016","1665.153","41.278","","1560.216",""
"Belgium","1837.000","3.966","1744.689","43.250","","1618.298",""
"Belgium","1838.000","5.107","1770.393","43.887","","1616.904",""
"Belgium","1839.000","5.305","1851.994","45.910","","1640.548",""
"Belgium","1840.000","7.536","1842.973","45.686","","1662.889",""
"Belgium","1841.000","6.966","1863.184","46.187","","1714.387",""
"Belgium","1842.000","16.857","1791.109","44.400","","1746.849",""
"Belgium","1843.000","16.708","1744.284","43.240","","1718.625",""
"Belgium","1844.000","14.849","1726.612","42.802","","1789.158",""
"Belgium","1845.000","14.700","1795.673","44.514","","1864.931",""
"Belgium","1846.000","14.651","1922.291","47.652","","1851.702",""
"Belgium","1847.000","15.171","2182.184","54.095","","2003.864",""
"Belgium","1848.000","15.692","1842.755","45.681","","1903.669",""
"Belgium","1849.000","15.865","1854.882","45.981","","2000.100",""
"Belgium","1850.000","15.692","1877.308","46.537","","2009.705",""
"Belgium","1851.000","15.915","1925.035","47.720","","2066.364",""
"Belgium","1852.000","15.692","2058.353","51.025","","2091.794",""
"Belgium","1853.000","16.014","2338.630","57.973","","2170.370",""
"Belgium","1854.000","15.791","2758.422","68.380","","2280.117",""
"Belgium","1855.000","15.568","2851.341","70.683","","2276.660",""
"Belgium","1856.000","15.469","3057.787","75.801","","2464.966",""
"Belgium","1857.000","15.419","2986.428","74.032","","2542.511",""
"Belgium","1858.000","15.196","2863.192","70.977","","2523.947",""
"Belgium","1859.000","14.973","2873.216","71.225","","2518.420",""
"Belgium","1860.000","15.667","3154.546","78.199","","2696.842",""
"Belgium","1861.000","15.493","3212.253","79.630","","2719.846",""
"Belgium","1862.000","15.320","3274.955","81.184","","2884.286",""
"Belgium","1863.000","15.122","3326.982","82.474","","3032.944",""
"Belgium","1864.000","15.196","3553.276","88.083","","3155.471",""
"Belgium","1865.000","16.187","3611.416","89.525","","3206.395",""
"Belgium","1866.000","16.113","3896.739","96.598","","3324.568",""
"Belgium","1867.000","16.634","3894.840","96.551","","3322.268",""
"Belgium","1868.000","17.328","4052.479","100.458","","3535.481",""
"Belgium","1869.000","16.981","4255.078","105.481","","3874.808",""
"Belgium","1870.000","16.931","4518.981","112.023","","3981.952",""
"Belgium","1871.000","18.518","4664.126","115.621","","3928.432",""
"Belgium","1872.000","18.270","5585.691","138.466","","4212.218",""
"Belgium","1873.000","23.971","5974.788","148.111","","4044.195",""
"Belgium","1874.000","24.665","5791.151","143.559","","4383.308",""
"Belgium","1875.000","24.938","5204.981","129.028","","4290.556",""
"Belgium","1876.000","26.574","5073.817","125.777","","4341.423",""
"Belgium","1877.000","29.004","5083.417","126.015","","4380.228",""
"Belgium","1878.000","31.210","4998.701","123.915","","4487.805",""
"Belgium","1879.000","31.879","4896.125","121.372","","4491.475",""
