"Country","Year","Debt1","Debt2","GDP1","GDP2","RGDP1","RGDP2","Infl"
"Germany","1850.0000","","","6070.0000","","48178.0000","","-2.3297"
"Germany","1851.0000","","","6431.0000","","47941.0000","","17.4312"
"Germany","1852.0000","","","7296.0000","","48890.0000","","17.0313"
"Germany","1853.0000","","","7189.0000","","48653.0000","","10.9479"
"Germany","1854.0000","","","8203.0000","","49840.0000","","19.6149"
"Germany","1855.0000","","","7882.0000","","49128.0000","","6.8410"
"Germany","1856.0000","","","9139.0000","","53162.0000","","-2.5424"
"Germany","1857.0000","","","8581.0000","","55773.0000","","-18.4541"
"Germany","1858.0000","","","8334.0000","","55536.0000","","-4.8578"
"Germany","1859.0000","","","8134.0000","","55773.0000","","0.0000"
"Germany","1860.0000","","","9630.0000","","59096.0000","","6.8493"
"Germany","1861.0000","","","9379.0000","","57672.0000","","4.7786"
"Germany","1862.0000","","","10050.0000","","60520.0000","","0.0000"
"Germany","1863.0000","","","10372.0000","","65029.0000","","-9.1212"
"Germany","1864.0000","","","10207.0000","","66928.0000","","10.0367"
"Germany","1865.0000","","","10279.0000","","67165.0000","","-12.1246"
"Germany","1866.0000","","","10714.0000","","67640.0000","","8.6076"
"Germany","1867.0000","","","11558.0000","","67877.0000","","20.6294"
"Germany","1868.0000","","","12967.0000","","71912.0000","","0.0000"
"Germany","1869.0000","","","11750.0000","","72386.0000","","-9.1787"
"Germany","1870.0000","","","12876.0000","","72148.9280","","1.3830"
"Germany","1871.0000","","","14013.0000","","71674.2640","","8.6044"
"Germany","1872.0000","","","16627.0000","","76658.2360","","4.3478"
"Germany","1873.0000","","","17950.0000","","79980.8840","","11.1111"
"Germany","1874.0000","","","19544.0000","","85914.1840","","3.7500"
"Germany","1875.0000","","","18242.0000","","86388.8480","","-8.4337"
"Germany","1876.0000","","","17966.0000","","85914.1840","","-7.8947"
"Germany","1877.0000","","","17414.0000","","85439.5200","","10.0000"
"Germany","1878.0000","","","17874.0000","","89474.1640","","-5.1948"
"Germany","1879.0000","","","16678.0000","","87338.1760","","-1.3699"
"Germany","1880.0000","218.0000","","16902.0000","","86626.1800","","5.5556"
"Germany","1881.0000","267.0000","","17330.0000","","88762.1680","","1.3158"
"Germany","1882.0000","319.0000","","17489.0000","","90186.1600","","-2.5974"
"Germany","1883.0000","348.0000","","18014.0000","","95170.1320","","0.0000"
"Germany","1884.0000","373.0000","","18540.0000","","97543.4520","","-4.0000"
"Germany","1885.0000","410.0000","","18731.0000","","99916.7720","","-2.7778"
"Germany","1886.0000","440.0000","","18935.0000","","100628.7680","","-2.8571"
"Germany","1887.0000","486.0000","","19280.0000","","104663.4120","","0.0000"
