"Country","Year","Debt","GDP1","GDP2","RGDP","dRGDP","Infl","debtgdp"
"Greece","1833","","49.3275923134","","118.3483703666","","",""
"Greece","1834","","60.1114086739","","127.1122432063","","",""
"Greece","1835","","76.0383588583","","167.6037824132","","",""
"Greece","1836","","64.8736315358","","163.5903626633","","",""
"Greece","1837","","71.1309001183","","169.2239321497","","",""
"Greece","1838","","76.5614637346","","179.6796667926","","",""
"Greece","1839","","82.1589436919","","178.2743278849","","",""
"Greece","1840","","90.5113744901","","176.0158246051","","",""
"Greece","1841","","81.5243026843","","176.8483064675","","",""
"Greece","1842","","72.050835253","","178.9970117836","","",""
"Greece","1843","","70.3047397258","","161.9739567633","","",""
"Greece","1844","","72.2865098935","","159.6209402918","","",""
"Greece","1845","","72.5552902429","","158.6946438487","","",""
"Greece","1846","","77.3109846452","","175.5550541158","","",""
"Greece","1847","","70.2022317364","","150.9536719392","","",""
"Greece","1848","","78.7402595094","","164.202307454","","",""
"Greece","1849","","81.0722030928","","169.8355482151","","",""
"Greece","1850","","89.7258219845","","173.2227759881","","",""
"Greece","1851","","93.491566561","","214.2420878041","","",""
"Greece","1852","","111.0720331862","","182.647573014","","",""
"Greece","1853","","102.9159150786","","202.0887578908","","",""
"Greece","1854","","118.8702128378","","213.5621237795","","",""
"Greece","1855","","109.9091348921","","226.5131344453","","",""
"Greece","1856","","151.5987365989","","200.050600978","","",""
"Greece","1857","","145.799996845","","260.9672552731","","",""
"Greece","1858","","136.3949462974","","253.2047126583","","",""
"Greece","1859","","166.1762914095","","250.741259832","","",""
"Greece","1860","","152.2057856788","","248.0170438931","","",""
"Greece","1861","","150.2812379884","","265.6972837446","","",""
"Greece","1862","","154.4902470443","","271.5582795477","","",""
"Greece","1863","","160.1337806032","","245.6877826738","","",""
"Greece","1864","","187.269130468","","269.8011591303","","",""
"Greece","1865","","182.2850072406","","291.8444451567","","",""
"Greece","1866","","194.2578871104","","281.8202914793","","",""
"Greece","1867","","227.0979088632","","301.1320130283","","",""
"Greece","1868","","217.6163288959","","308.2059772559","","",""
"Greece","1869","","193.0191530487","","307.5509552713","","",""
"Greece","1870","","230.4864375435","","302.6495254609","","",""
"Greece","1871","","263.4542909089","","294.9602799562","","",""
"Greece","1872","","221.4595801723","","291.045549524","","",""
"Greece","1873","","239.5598084389","","348.4344873046","","",""
"Greece","1874","","256.4890735216","","334.920676164","","",""
"Greece","1875","","256.0072115261","","325.8770420361","","",""
"Greece","1876","","246.8531089903","","329.5678959029","","",""
"Greece","1877","","280.1960865215","","314.54998526","","",""
"Greece","1878","","287.893760631","","351.6068687257","","",""
"Greece","1879","","284.4724781409","","371.0418184484","","",""
"Greece","1880","","294.0153392046","","368.2706719231","","",""
"Greece","1881","","340.537236601","","423.2675425382","","",""
"Greece","1882","","378.4932446973","","455.5877562243","","",""
"Greece","1883","","402.0374195555","","458.9882413538","","",""
"Greece","1884","315.24078","409.5977708728","","521.6685677238","","",""
"Greece","1885","280.8","404.3703558164","","569.0146648","","",""
"Greece","1886","283.5","427.8849772179","","550.0731097092","","",""
"Greece","1887","440.7","445.5525666546","","575.3729825014","","",""
"Greece","1888","617.72004","457.843916493","","594.9501536979","","",""
"Greece","1889","615.95","441.0118479928","","560.1065687798","","",""
"Greece","1890","738","463.7114984447","","536.9983385916","","",""
"Greece","1891","816.34608","506.0747747078","","475.3331489737","","",""
"Greece","1892","849.35148","530.1830427725","","503.4757538617","","",""
"Greece","1893","969.01519","550.345214433","","544.0835307825","","",""
"Greece","1894","1088.352","497.7960315023","","564.9343591712","","",""
"Greece","1895","1151.64684","519.1721677417","","551.8008320855","","",""
"Greece","1896","1190.34","551.4900936228","","615.2515221063","","",""
"Greece","1897","1142.90893","512.2475637152","","526.2508760013","","",""
"Greece","1898","1098.50095","568.6090392765","","572.3038276843","","",""
"Greece","1899","1139.937225","542.8170947727","","588.4333082048","","",""
"Greece","1900","1206.73254","585.3189003476","","529.1136841267","","",""
"Greece","1901","1263.53308","663.8800087031","","510.806748884","","",""
"Greece","1902","1266.397275","638.047416888","","659.2381802611","","",""
"Greece","1903","1274.44266","623.9845359637","","648.8899475335","","",""
"Greece","1904","1219.44576","572.4525258657","","689.2353160153","","",""
"Greece","1905","1099.488705","579.5919457167","","711.6686879934","","",""
"Greece","1906","978.87336","604.5168973051","","708.0736430452","","",""
"Greece","1907","874.3911","646.7233964269","","723.0791125457","","",""
"Greece","1908","849.17754","638.3967993294","","723.944831423","","",""
"Greece","1909","839.81718","689.4646394564","","743.0409577897","","",""
"Greece","1910","791.89696","660.869107468","","745.0267358813","","",""
"Greece","1911","759.4235","847.5367472621","","935.2856704353","","",""
"Greece","1912","829.4235","823.8626257742","","913.3939501944","","",""
"Greece","1913","959.4235","856.7220657877","","968.7579705473","","",""
"Greece","1914","","1235.7865657908","","1235.7865657908","","",""
"Greece","1915","","1420.8765651092","","1168.2804952529","","",""
"Greece","1916","","1882.9286999223","","1174.429854431","","",""
"Greece","1917","","2689.0250772751","","1130.057389166","","",""
"Greece","1918","","4196.1520165729","","1373.3198322167","","",""
"Greece","1919","2432","3789.7499658999","","1129.8579202194","","",""
"Greece","1920","2945.1","5361.5368709918","","1410.4116742936","","",""
