"Country","Year","Debt","GDP1","GDP2","GDP3","RGDP1","RGDP2","dRGDP"
"Ireland","1921.000","","","","","7841.000","",""
"Ireland","1922.000","","","","","7800.000","",""
"Ireland","1923.000","2.500","","","","7760.000","",""
"Ireland","1924.000","13.900","","","","7720.000","",""
"Ireland","1925.000","13.600","","","","7680.000","",""
"Ireland","1926.000","14.600","154.000","195.540","","7640.000","",""
"Ireland","1927.000","17.700","","","","7845.000","",""
"Ireland","1928.000","22.800","","","","8058.000","",""
"Ireland","1929.000","24.100","161.000","204.428","","8294.000","",""
"Ireland","1930.000","26.100","","","","8480.000","",""
"Ireland","1931.000","29.500","147.000","186.651","","8716.000","",""
"Ireland","1932.000","31.900","","","","8508.000","",""
"Ireland","1933.000","31.400","134.000","170.145","","8294.000","",""
"Ireland","1934.000","49.600","","","","8562.000","",""
"Ireland","1935.000","48.600","","","","8812.000","",""
"Ireland","1936.000","48.400","154.000","195.540","","9056.000","",""
"Ireland","1937.000","48.700","156.000","198.079","","8716.000","",""
"Ireland","1938.000","49.500","184.000","233.632","","8965.000","",""
"Ireland","1939.000","61.400","","","","8955.000","",""
"Ireland","1940.000","64.800","","","","9028.000","",""
"Ireland","1941.000","65.100","","","","9135.000","",""
"Ireland","1942.000","72.600","","","","9043.000","",""
"Ireland","1943.000","74.300","","","","8991.000","",""
"Ireland","1944.000","74.500","","","","8985.000","",""
"Ireland","1945.000","79.600","","","","8912.000","",""
"Ireland","1946.000","81.300","","","","9025.000","",""
"Ireland","1947.000","86.800","332.000","421.553","","9196.000","",""
"Ireland","1948.000","91.000","341.000","432.981"," ","9643.000"," ",""
"Ireland","1949.000","128.000","366.000","464.724","","10148.000","",""
"Ireland","1950.000","178.000","372.000","472.343","","10231.000","",""
"Ireland","1951.000","227.000","392.000","497.737","","10488.000","",""
"Ireland","1952.000","271.000","450.000","571.382","","10753.000","",""
"Ireland","1953.000","310.000","496.000","629.790","","11043.000","",""
"Ireland","1954.000","354.000","498.000","632.330","","11142.000","",""
"Ireland","1955.000","423.000","522.000","662.803","","11432.000","",""
"Ireland","1956.000","453.000","530.000","672.961","","11283.000","",""
