"Country","Year","Debt","GDP1","GDP2","GNI","RGDP1","RGDP2","dRGDP","Infl"
"Italy","1879.0000","","","","11889.0000","44561.0709","","","-1.7544"
"Italy","1880.0000","9999.0000","10993.0000","","12599.0000","46689.6677","","","3.5714"
"Italy","1881.0000","10774.0000","9878.0000","","11540.0000","43540.7646","","","-6.0345"
"Italy","1882.0000","12028.0000","10657.0000","","12343.0000","47354.2976","","","-2.7523"
"Italy","1883.0000","12133.0000","10031.0000","","11762.0000","47217.5427","","","-2.8302"
"Italy","1884.0000","11559.0000","9899.0000","","11670.0000","47556.1078","","","-1.9417"
"Italy","1885.0000","11626.0000","10585.0000","","12526.0000","48542.1888","","","1.9802"
"Italy","1886.0000","11646.0000","11017.0000","","12984.0000","50695.2745","","","0.0000"
"Italy","1887.0000","11680.0000","10197.0000","","12364.0000","52090.1945","","","-0.9709"
"Italy","1888.0000","12157.0000","10103.0000","","11859.0000","51920.0727","","","1.9608"
"Italy","1889.0000","12612.0000","10278.0000","","12164.0000","49686.0215","","","1.9231"
"Italy","1890.0000","12640.0000","11242.0000","","13112.0000","52862.7253","","","2.8302"
"Italy","1891.0000","12945.0000","11794.0000","","13500.0000","52648.4827","","","0.0000"
"Italy","1892.0000","13150.0000","10578.0000","","12315.0000","49688.4608","","","-0.9174"
"Italy","1893.0000","13179.0000","10740.0000","","12479.0000","51967.1275","","","-1.8519"
"Italy","1894.0000","13038.0000","10382.0000","","11984.0000","51234.6369","","","0.0000"
"Italy","1895.0000","13275.0000","10804.0000","","12496.0000","52027.2041","","","-0.9434"
"Italy","1896.0000","13414.0000","10829.0000","","12529.0000","53456.1687","","","0.0000"
"Italy","1897.0000","13409.0000","10549.0000","","12228.0000","51091.0104","","","0.0000"
"Italy","1898.0000","13676.0000","11894.0000","","13801.0000","55645.7432","","","0.0000"
"Italy","1899.0000","13712.0000","11934.0000","","13963.0000","56944.0494","","","-1.9048"
"Italy","1900.0000","13921.0000","12736.0000","","14978.0000","60113.6158","","","0.9709"
"Italy","1901.0000","13911.0000","13145.0000","","15447.0000","64016.0271","","","0.0000"
"Italy","1902.0000","13803.0000","12566.0000","","14891.0000","62231.1027","","","0.0000"
"Italy","1903.0000","13684.0000","13697.0000","","16134.0000","65196.2206","","","1.9231"
"Italy","1904.0000","13919.0000","13513.0000","","16000.0000","65805.2495","","","0.9434"
"Italy","1905.0000","13978.0000","14227.0000","","16918.0000","69477.0122","","","0.9346"
"Italy","1906.0000","14361.0000","15148.0000","","18372.0000","72087.4028","","","0.9259"
"Italy","1907.0000","14613.0000","17028.0000","","20637.0000","80214.2943","","","5.5046"
"Italy","1908.0000","14726.0000","16261.0000","","19865.0000","82149.2921","","","-0.8696"
"Italy","1909.0000","14946.0000","17657.0000","","21530.0000","88493.7152","","","-2.6316"
"Italy","1910.0000","15157.0000","17513.0000","","21580.0000","85285.0214","","","2.7027"
"Italy","1911.0000","15545.0000","19369.0000","","23619.0000","90838.5247","","","1.7544"
"Italy","1912.0000","15467.0000","20196.0000","","24850.0000","91573.7789","","","1.7241"
"Italy","1913.0000","16382.0000","21025.0000","","25656.0000","95487.0000","","","0.0000"
"Italy","1914.0000","15766.0000","","","24044.0000","95412.5776","","","0.0000"
"Italy","1915.0000","18695.0000","","","28137.0000","106729.6083","","","8.4746"
"Italy","1916.0000","23857.0000","","","40479.0000","119746.2768","","","25.0000"
"Italy","1917.0000","33694.0000","","","56389.0000","125383.1803","","","43.7500"
