"Country","Year","Debt","GDP1","GDP2","RGDP1","dRGDP","Infl"
"New Zealand","1870.000000","","","","902.000000","","-4.934211"
"New Zealand","1871.000000","","","","965.427000","","5.536332"
"New Zealand","1872.000000","","","","1127.295000","","2.950820"
"New Zealand","1873.000000","","","","1283.382000","","-4.777070"
"New Zealand","1874.000000","","","","1410.564000","","1.672241"
"New Zealand","1875.000000","","","","1497.279000","","-2.960526"
"New Zealand","1876.000000","","","","1572.432000","","-2.372881"
"New Zealand","1877.000000","","","","1792.110000","","0.694444"
"New Zealand","1878.000000","","","","1994.445000","","1.379310"
"New Zealand","1879.000000","","","","1763.205000","","-15.986395"
"New Zealand","1880.000000","","","","1948.197000","","4.048583"
"New Zealand","1881.000000","","","","2029.131000","","-0.389105"
"New Zealand","1882.000000","","","","2023.350000","","2.343750"
"New Zealand","1883.000000","","","","2006.007000","","-0.763359"
"New Zealand","1884.000000","","","","2214.123000","","-3.076923"
"New Zealand","1885.000000","","","","2202.561000","","-5.158730"
"New Zealand","1886.000000","","","","2254.590000","","-1.255230"
"New Zealand","1887.000000","","","","2306.619000","","-7.627119"
"New Zealand","1888.000000","","","","2306.619000","","1.376147"
"New Zealand","1889.000000","","","","2428.020000","","-3.167421"
"New Zealand","1890.000000","","","","2497.392000","","-2.336449"
"New Zealand","1891.000000","","","","2514.735000","","3.349282"
"New Zealand","1892.000000","","","","2607.231000","","-6.018519"
"New Zealand","1893.000000","","","","2670.822000","","0.000000"
"New Zealand","1894.000000","","","","2584.107000","","-1.970443"
"New Zealand","1895.000000","","","","2676.603000","","-1.507538"
"New Zealand","1896.000000","","","","2982.996000","","3.571429"
"New Zealand","1897.000000","","","","3017.682000","","-0.492611"
"New Zealand","1898.000000","","","","3104.397000","","0.990099"
"New Zealand","1899.000000","","","","3208.455000","","-3.431373"
"New Zealand","1900.000000","95.749000","","","3468.600000","","2.030457"
"New Zealand","1901.000000","99.183000","","","3480.162000","","6.467662"
"New Zealand","1902.000000","105.932000","","","3746.088000","","2.336449"
"New Zealand","1903.000000","111.798000","","","4098.729000","","-0.456621"
"New Zealand","1904.000000","115.044000","","","4081.386000","","0.000000"
"New Zealand","1905.000000","119.824000","","","4457.151000","","2.293578"
"New Zealand","1906.000000","124.382000","","","4879.164000","","0.896861"
"New Zealand","1907.000000","128.358000","","","5173.995000","","1.777778"
"New Zealand","1908.000000","132.908000","","","4815.573000","","0.000000"
"New Zealand","1909.000000","141.877000","","","4884.945000","","0.436681"
"New Zealand","1910.000000","149.781000","","","5555.541000","","0.869565"
"New Zealand","1911.000000","162.157000","","","5861.934000","","0.862069"
"New Zealand","1912.000000","168.708000","","","5688.504000","","2.991453"
"New Zealand","1913.000000","180.122000","","","5781.000000","","2.904564"
"New Zealand","1914.000000","199.461000","","","5931.306000","","1.209677"
"New Zealand","1915.000000","200.120000","","","5960.211000","","6.386087"
"New Zealand","1916.000000","219.275000","","","5913.963000","","6.047298"
"New Zealand","1917.000000","259.672000","","","5769.438000","","7.736154"
"New Zealand","1918.000000","301.680000","","","5676.942000","","12.813222"
"New Zealand","1919.000000","352.153000","","","6312.852000","","5.544041"
"New Zealand","1920.000000","402.342000","","","7000.791000","","14.026497"
"New Zealand","1921.000000","412.649000","","","6538.311000","","-4.461727"
"New Zealand","1922.000000","438.109000","","","6312.852000","","-9.555302"
"New Zealand","1923.000000","437.907000","","","6821.580000","","-1.927284"
"New Zealand","1924.000000","443.233000","","","6942.981000","","4.700158"
"New Zealand","1925.000000","455.629000","","","7312.965000","","1.250040"
"New Zealand","1926.000000","477.711000","","","6925.638000","","-0.304848"
"New Zealand","1927.000000","491.702000","","","6729.084000","","-0.613595"
"New Zealand","1928.000000","502.793000","","","7474.833000","","0.310529"
"New Zealand","1929.000000","528.384000","","","7740.759000","","-0.308612"
"New Zealand","1930.000000","534.767000","","","7405.461000","","-3.876544"
"New Zealand","1931.000000","552.067000"," ","","6775.332000","","-7.243773"
"New Zealand","1932.000000","515.685000","227.400000","","6607.683000","","-9.938550"
"New Zealand","1933.000000","517.045000","254.000000","","7047.039000","","-2.373603"
"New Zealand","1934.000000","557.383000","271.200000","","7399.680000","","2.961636"
"New Zealand","1935.000000","512.962000","310.800000","","7746.540000","","3.911140"
"New Zealand","1936.000000","516.922000","384.600000","","9186.009000","","2.434803"
"New Zealand","1937.000000","527.140000","423.800000","","9683.175000","","7.356945"
"New Zealand","1938.000000","532.202000","464.000000","","10365.333000","","2.737933"
"New Zealand","1939.000000","559.740000","499.000000","","10509.858000","","4.320222"
"New Zealand","1940.000000","597.614000","538.000000","","10307.523000","","5.110253"
"New Zealand","1941.000000","650.655000","582.000000","","9983.787000","","3.802830"
"New Zealand","1942.000000","722.595000","670.000000","","11082.177000","","2.792388"
"New Zealand","1943.000000","879.451000","749.000000","","11313.417000","","1.345229"
"New Zealand","1944.000000","1005.234000","759.000000","","11359.665000","","0.000000"
"New Zealand","1945.000000","1078.635000","799.000000","","11694.963000","","1.428571"
"New Zealand","1946.000000","1140.463000","851.000000","","12596.799000","","0.409769"
"New Zealand","1947.000000","1160.943000","964.000000","","14099.859000","","5.453982"
"New Zealand","1948.000000","1160.339000","978.000000","990.000000","12700.857000","","8.189376"
