"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2"
"Norway","1830.000","","180.000","","12205.549","","1.475",""
"Norway","1831.000","","190.000","","11353.999","","1.673",""
"Norway","1832.000","","177.000","","11637.849","","1.521",""
"Norway","1833.000","","180.000","","13057.098","","1.379",""
"Norway","1834.000","","174.000","","13765.745","","1.264",""
"Norway","1835.000","","180.000","","13624.798","","1.321",""
"Norway","1836.000","","190.000","","13387.931","","1.419",""
"Norway","1837.000","","194.000","","13529.856","","1.434",""
"Norway","1838.000","","204.000","","13671.780","","1.492",""
"Norway","1839.000","","208.000","","13765.745","","1.511",""
"Norway","1840.000","","216.000","","15091.030","","1.431",""
"Norway","1841.000","","191.000","","15516.805","","1.231",""
"Norway","1842.000","","183.000","","15800.655","","1.158",""
"Norway","1843.000","","196.000","","15610.769","","1.256",""
"Norway","1844.000","","209.000","","16084.505","","1.299",""
"Norway","1845.000","","222.000","","16983.037","","1.307",""
"Norway","1846.000","","242.000","","17503.755","","1.383",""
"Norway","1847.000","","278.000","","16983.037","","1.637",""
"Norway","1848.000","","236.000","","16178.469","","1.459",""
"Norway","1849.000","","233.000","","16746.169","","1.391",""
"Norway","1850.000","","240.000","","17313.869","","1.386",""
"Norway","1851.000","","260.000","","18591.194","","1.399",""
"Norway","1852.000","","274.000","","18591.194","","1.474",""
"Norway","1853.000","","302.000","","19632.630","","1.538",""
"Norway","1854.000","","363.000","","20389.237","","1.780",""
"Norway","1855.000","","393.000","","21713.544","","1.810",""
"Norway","1856.000","","413.000","","21571.619","","1.915",""
"Norway","1857.000","","395.000","","20626.105","","1.915",""
"Norway","1858.000","","373.000","","21666.562","","1.722",""
"Norway","1859.000","","378.000","","22471.129","","1.682",""
"Norway","1860.000","","421.000","","23605.551","","1.783",""
"Norway","1861.000","","436.000","","23179.776","","1.881",""
"Norway","1862.000","","455.000","","25356.611","","1.794",""
"Norway","1863.000","","441.000","","25687.443","","1.717",""
"Norway","1864.000","","457.000","","26964.768","","1.695",""
"Norway","1865.000","","480.000","","28431.000","","1.688",""
"Norway","1866.000","","492.000","","28958.000","","1.699",""
"Norway","1867.000","","518.000","","29672.000","","1.746",""
"Norway","1868.000","","524.000","","29637.000","","1.768",""
"Norway","1869.000","","537.000","","30779.000","","1.745",""
"Norway","1870.000","","542.000","","30705.000","","1.765",""
"Norway","1871.000","","562.000","","31244.000","","1.799",""
"Norway","1872.000","","640.000","","33279.000","","1.923",""
"Norway","1873.000","","729.000","","34064.000","","2.140",""
"Norway","1874.000","","790.000","","35350.000","","2.235",""
"Norway","1875.000","","771.000","","36391.000","","2.119",""
"Norway","1876.000","","799.000","","37421.000","","2.135",""
"Norway","1877.000","","797.000","","37706.000","","2.114",""
"Norway","1878.000","","706.000","","36385.000","","1.940",""
"Norway","1879.000","","662.000","","36707.000","","1.803",""
"Norway","1880.000","113.571","720.000","","37885.000","","1.900",""
"Norway","1881.000","114.816","739.000","","38242.000","","1.932",""
"Norway","1882.000","113.764","760.000","","38171.000","","1.991",""
"Norway","1883.000","111.931","750.000","","38028.000","","1.972",""
"Norway","1884.000","113.503","721.000","","38706.000","","1.863",""
"Norway","1885.000","113.101","679.000","","39063.000","","1.738",""
"Norway","1886.000","116.516","667.000","","39278.000","","1.698",""
"Norway","1887.000","115.399","659.000","","39777.000","","1.657",""
"Norway","1888.000","126.243","710.000","","41634.000","","1.705",""
"Norway","1889.000","124.422","770.000","","43241.000","","1.781",""
"Norway","1890.000","126.283","780.000","","44419.000","","1.756",""
"Norway","1891.000","134.802","802.000","","44848.000","","1.788",""
"Norway","1892.000","135.217","799.000","","45705.000","","1.748",""
"Norway","1893.000","173.641","809.000","","46919.000","","1.724",""
"Norway","1894.000","154.974","816.000","","47205.000","","1.729",""
"Norway","1895.000","170.700","832.000","","47776.000","","1.741",""
"Norway","1896.000","194.500","875.000","","49133.000","","1.781",""
"Norway","1897.000","195.100","919.000","","51739.000","","1.776",""
"Norway","1898.000","213.300","998.000","","52168.000","","1.913",""
"Norway","1899.000","241.300","1065.000","","53775.000","","1.980",""
"Norway","1900.000","243.000","1115.000","","54453.000","","2.048",""
"Norway","1901.000","276.000","1101.000","","55810.000","","1.973",""
"Norway","1902.000","275.300","1088.000","","56667.000","","1.920",""
"Norway","1903.000","282.900","1081.000","","56310.000","","1.920",""
"Norway","1904.000","322.200","1081.000","","56417.000","","1.916",""
"Norway","1905.000","358.800","1105.000","","56845.000","","1.944",""
"Norway","1906.000","352.500","1187.000","","59202.000","","2.005",""
"Norway","1907.000","348.400","1265.000","","61773.000","","2.048",""
"Norway","1908.000","347.000","1299.000","","63737.000","","2.038",""
"Norway","1909.000","351.000","1316.000","","65129.000","","2.021",""
"Norway","1910.000","386.400","1435.000","","67807.000","","2.116",""
"Norway","1911.000","384.200","1530.000","","70450.000","","2.172",""
"Norway","1912.000","380.700","1680.000","","73913.000","","2.273",""
"Norway","1913.000","365.616","1857.000","","77912.000","","2.383",""
"Norway","1914.000","357.400","1919.000","","79519.000","","2.413",""
"Norway","1915.000","421.300","2594.000","","83019.000","","3.125",""
"Norway","1916.000","422.900","3871.000","","86232.000","","4.489",""
"Norway","1917.000","455.500","4489.000","","78377.000","","5.727",""
"Norway","1918.000","736.600","5048.000","","75234.000","","6.710",""
"Norway","1919.000","1008.100","6195.000","","88125.000","","7.030",""
"Norway","1920.000","1129.600","7500.000","","93909.000","","7.986",""
"Norway","1921.000","1190.500","5448.000","","84804.000","","6.424",""
"Norway","1922.000","1282.100","4980.000","","93909.000","","5.303",""
"Norway","1923.000","1394.000","4997.000","","96444.000","","5.181",""
"Norway","1924.000","1550.000","5576.000","","96409.000","","5.784",""
"Norway","1925.000","1731.600","5633.000","","102336.000","","5.504",""
