"Country","Year","Debt1","Debt2","GDP1","GDP2","RGDP1","RGDP2","Infl"
"Portugal","1865.00","123.00","","","","3745.00","","-8.29"
"Portugal","1866.00","136.00","","","","3887.00","","9.89"
"Portugal","1867.00","140.00","","","","4000.00","","20.55"
"Portugal","1868.00","148.00","","","","4042.00","","-13.68"
"Portugal","1869.00","170.00","","","","4148.00","","-2.01"
"Portugal","1870.00","183.00","","","","4219.00","","-9.15"
"Portugal","1871.00","184.00","","","","4061.00","","-4.06"
"Portugal","1872.00","194.00","","","","4179.00","","-7.41"
"Portugal","1873.00","226.00","","","","4353.00","","7.26"
"Portugal","1874.00","246.00","","","","4282.00","","10.84"
"Portugal","1875.00","261.00","","","","4277.00","","-7.82"
"Portugal","1876.00","308.00","","","","4177.00","","-6.27"
"Portugal","1877.00","308.00","","","","4372.00","","13.31"
"Portugal","1878.00","307.00","","","","4375.00","","-6.09"
"Portugal","1879.00","343.00","","","","4384.00","","-2.18"
"Portugal","1880.00","351.00","","502.00","","4367.00","","-4.47"
"Portugal","1881.00","363.00","","524.00","","4513.00","","6.15"
"Portugal","1882.00","380.00","","535.00","","4655.00","","-1.94"
"Portugal","1883.00","403.00","","532.00","","4770.00","","-9.56"
"Portugal","1884.00","405.00","","557.00","","4934.00","","-6.88"
"Portugal","1885.00","415.00","","578.00","","5064.00","","-3.60"
"Portugal","1886.00","417.00","","608.00","","5343.00","","0.18"
"Portugal","1887.00","429.00","","623.00","","5457.00","","2.32"
"Portugal","1888.00","437.00","","662.00","","5523.00","","4.19"
"Portugal","1889.00","434.00","","681.00","","5425.00","","16.57"
"Portugal","1890.00","487.00","","679.00","","5671.00","","-2.29"
"Portugal","1891.00","487.00","","681.00","","5572.00","","3.62"
"Portugal","1892.00","489.00","","699.00","","5548.00","","-1.13"
"Portugal","1893.00","500.00","","703.00","","5660.00","","5.21"
"Portugal","1894.00","562.00","","717.00","","5587.00","","2.25"
"Portugal","1895.00","534.00","","763.00","","5827.00","","-4.38"
"Portugal","1896.00","577.00","","787.00","","5908.00","","1.18"
"Portugal","1897.00","586.00","","782.00","","6251.00","","5.63"
"Portugal","1898.00","609.00","","792.00","","6469.00","","4.38"
"Portugal","1899.00","588.00","","806.00","","6701.00","","-2.07"
"Portugal","1900.00","597.00","","829.00","","7037.00","","-2.11"
"Portugal","1901.00","610.00","","811.00","","6914.00","","-1.17"
"Portugal","1902.00","668.00","","816.00","","6954.00","","-3.22"
"Portugal","1903.00","659.00","","843.00","","7054.00","","3.42"
"Portugal","1904.00","614.00","","859.00","","7148.00","","5.35"
"Portugal","1905.00","665.00","","864.00","","6950.00","","-0.98"
"Portugal","1906.00","690.00","","874.00","","6997.00","","0.05"
"Portugal","1907.00","494.00","","903.00","","7165.00","","-0.09"
"Portugal","1908.00","589.00","","928.00","","7052.00","","1.05"
"Portugal","1909.00","601.00","","941.00","","7048.00","","1.08"
"Portugal","1910.00","637.00","","947.00","","7225.00","","-4.06"
"Portugal","1911.00","637.00","","906.00","","7369.00","","5.29"
