"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2"
"Spain","1850.000","3899.000","4251.840","","96223.436","","4.419",""
"Spain","1851.000","3691.000","4343.878","","97632.166","","4.449",""
"Spain","1852.000","3655.000","4374.053","","102378.297","","4.272",""
"Spain","1853.000","3841.000","5162.659","","102722.913","","5.026",""
"Spain","1854.000","3864.000","5336.269","","103902.693","","5.136",""
"Spain","1855.000","3563.000","5663.808","","107785.845","","5.255",""
"Spain","1856.000","3634.000","5598.154","","104939.795","","5.335",""
"Spain","1857.000","3482.000","5394.979","","104055.607","","5.185",""
"Spain","1858.000","3498.000","5255.934","","106171.122","","4.950",""
"Spain","1859.000","3548.000","5603.292","","111319.402","","5.034",""
"Spain","1860.000","3532.000","5958.995","","115293.066","","5.169",""
"Spain","1861.000","3508.000","6085.980","","116927.319","","5.205",""
"Spain","1862.000","4037.000","6254.368","","117621.091","","5.317",""
"Spain","1863.000","3847.000","6580.812","","120250.905","","5.473",""
"Spain","1864.000","4013.000","6569.685","","120200.799","","5.466",""
"Spain","1865.000","4356.000","6183.895","","116623.643","","5.302",""
"Spain","1866.000","4593.000","6618.582","","122472.257","","5.404",""
"Spain","1867.000","5605.000","7062.038","","122084.632","","5.785",""
"Spain","1868.000","6138.000","5971.065","","108973.935","","5.479",""
"Spain","1869.000","7195.000","5501.083","","112261.264","","4.900",""
"Spain","1870.000","7288.000","5970.432","","115266.845","","5.180",""
"Spain","1871.000","7373.000","6410.217","","124274.234","","5.158",""
"Spain","1872.000","8649.000","7342.669","","141196.761","","5.200",""
"Spain","1873.000","9514.000","7837.901","","153688.630","","5.100",""
"Spain","1874.000","11415.000","7781.303","","143352.913","","5.428",""
"Spain","1875.000","11574.000","7701.217","","147105.666","","5.235",""
"Spain","1876.000","13524.000","8002.094","","150674.856","","5.311",""
"Spain","1877.000","14007.000","8818.081","","165829.365","","5.318",""
"Spain","1878.000","14263.000","8722.159","","161512.749","","5.400",""
"Spain","1879.000","14062.000","8494.409","","153084.294","","5.549",""
"Spain","1880.000","13740.000","9010.896","","166492.668","","5.412",""
"Spain","1881.000","13586.000","9455.545","","170522.672","","5.545",""
"Spain","1882.000","11221.000","9998.122","","172749.747","","5.788",""
