"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2"
"Sweden","1800.00000","","113.32205","","365.76819","","30.98193",""
"Sweden","1801.00000","","119.31773","","367.82407","","32.43881",""
"Sweden","1802.00000","","125.15448","","388.41953","","32.22147",""
"Sweden","1803.00000","","118.59880","","385.51848","","30.76345",""
"Sweden","1804.00000","","110.35507","","368.45065","","29.95111",""
"Sweden","1805.00000","","122.61809","","391.77375","","31.29819",""
"Sweden","1806.00000","","134.69693","","398.55800","","33.79607",""
"Sweden","1807.00000","","140.26199","","388.34885","","36.11752",""
"Sweden","1808.00000","","155.86359","","360.45142","","43.24122",""
"Sweden","1809.00000","","160.53790","","358.25730","","44.81078",""
"Sweden","1810.00000","","169.81259","","388.73520","","43.68336",""
"Sweden","1811.00000","","194.40563","","417.43980","","46.57094",""
"Sweden","1812.00000","","229.69059","","394.82914","","58.17468",""
"Sweden","1813.00000","","252.66676","","407.64541","","61.98199",""
"Sweden","1814.00000","","253.25510","","418.30764","","60.54279",""
"Sweden","1815.00000","","252.33569","","430.91947","","58.55751",""
"Sweden","1816.00000","","260.99742","","436.95308","","59.73122",""
"Sweden","1817.00000","","266.00285","","427.89456","","62.16551",""
"Sweden","1818.00000","","282.28322","","430.41878","","65.58339",""
"Sweden","1819.00000","","293.01517","","429.52007","","68.21921",""
"Sweden","1820.00000","","281.17155","","439.38609","","63.99191",""
"Sweden","1821.00000","","266.15476","","453.01481","","58.75189",""
"Sweden","1822.00000","","259.37334","","463.94654","","55.90587",""
"Sweden","1823.00000","","261.78094","","472.36275","","55.41947",""
"Sweden","1824.00000","","261.57851","","487.69506","","53.63567",""
"Sweden","1825.00000","","285.99184","","505.30105","","56.59831",""
"Sweden","1826.00000","","300.53583","","503.74998","","59.65972",""
"Sweden","1827.00000","","318.71504","","498.85211","","63.88969",""
"Sweden","1828.00000","","292.35314","","510.57042","","57.26010",""
"Sweden","1829.00000","","293.60864","","518.72706","","56.60176",""
"Sweden","1830.00000","","305.82275","","515.79613","","59.29140",""
"Sweden","1831.00000","","331.91645","","533.83690","","62.17563",""
"Sweden","1832.00000","","337.49828","","523.91023","","64.41910",""
"Sweden","1833.00000","","329.35613","","549.69747","","59.91589",""
"Sweden","1834.00000","","330.73571","","562.20690","","58.82811",""
"Sweden","1835.00000","","342.75825","","570.53080","","60.07708",""
"Sweden","1836.00000","","362.41220","","594.81547","","60.92851",""
"Sweden","1837.00000","","370.82436","","592.13759","","62.62469",""
"Sweden","1838.00000","","379.87365","","585.54426","","64.87531",""
"Sweden","1839.00000","","398.03876","","600.73590","","66.25853",""
"Sweden","1840.00000","","391.04366","","611.51946","","63.94623",""
"Sweden","1841.00000","","393.60251","","614.47076","","64.05553",""
"Sweden","1842.00000","","395.90886","","590.97666","","66.99230",""
"Sweden","1843.00000","","398.07019","","617.06640","","64.51011",""
"Sweden","1844.00000","","395.14039","","655.05134","","60.32205",""
"Sweden","1845.00000","","396.16751","","667.93432","","59.31234",""
"Sweden","1846.00000","","434.10451","","657.97391","","65.97595",""
"Sweden","1847.00000","","463.93523","","682.04691","","68.02101",""
"Sweden","1848.00000","","462.76423","","695.02543","","66.58235",""
"Sweden","1849.00000","","457.67312","","721.33868","","63.44774",""
"Sweden","1850.00000","","483.62935","","749.70338","","64.50943",""
"Sweden","1851.00000","","494.35187","","753.12743","","65.63987",""
"Sweden","1852.00000","","503.35881","","750.09246","","67.10624",""
"Sweden","1853.00000","","531.06432","","765.54142","","69.37108",""
