"Country","Year","Debt","GDP1","GDP2","RGDP1","RGDP2","GDPI","Infl","RGDP","GDPalt","dRGDP","debtgdp","GDP3","GNI","GDPI1","GDPI2","lRGDP","lRGDP1","lRGDP2"
"Australia",1946,5588.8,2935,NA,49290.528,NA,NA,3.79658,NA,NA,-0.0355795148247978,190.419080068143,NA,NA,NA,NA,NA,51108.96,NA
"Australia",1947,5534.2,3121,NA,50502.816,NA,NA,6.80795,NA,NA,0.0245947456679709,177.321371355335,NA,NA,NA,NA,NA,49290.528,NA
"Australia",1948,5580.4,3747,NA,53753.952,NA,NA,10.0884,NA,NA,0.0643753409710857,148.929810515079,NA,NA,NA,NA,NA,50502.816,NA
"Australia",1949,5656,4324,4495,57308.16,NA,NA,7.45671,NA,NA,0.0661199384930806,125.828698553949,NA,NA,NA,NA,NA,53753.952,NA
"Australia",1950,5818.8,5099,5299,61274,NA,NA,7.85522,NA,NA,0.0692020124184758,109.809397999623,NA,NA,NA,NA,NA,57308.16,NA
"Australia",1951,6121,6773,7028,63892,NA,NA,21.87614,NA,NA,0.0427261154812808,87.0944792259533,NA,NA,NA,NA,NA,61274,NA
"Australia",1952,6529,7267,7586,64470,NA,NA,17.81089,NA,NA,0.00904651599574291,86.0664381755866,NA,NA,NA,NA,NA,63892,NA
"Australia",1953,6863.6,8244,8594,66481,NA,NA,7.84995,NA,NA,0.0311928028540407,79.8650221084478,NA,NA,NA,NA,NA,64470,NA
"Australia",1954,7213.6,9013,9387,70614,NA,NA,3.1951,NA,NA,0.0621681382650683,76.8467028869713,NA,NA,NA,NA,NA,66481,NA
"Australia",1955,7498.8,9603,10001,74471,NA,NA,9.82028,NA,NA,0.0546208967060355,74.980501949805,NA,NA,NA,NA,NA,70614,NA
"Australia",1956,7777.2,10405,10829,77034,NA,NA,6.04072,NA,NA,0.0344160814276697,71.8182657678456,NA,NA,NA,NA,NA,74471,NA
"Australia",1957,7982.6,11332,11787,78577,NA,NA,-0.07095,NA,NA,0.0200301165719032,67.7237634682277,NA,NA,NA,NA,NA,77034,NA
"Australia",1958,7965.6,11588,12060,82351,NA,NA,0.09941,NA,NA,0.0480293215571987,66.0497512437811,NA,NA,NA,NA,NA,78577,NA
"Australia",1959,8081.8,12448,12954,87421,NA,NA,2.01444,NA,NA,0.0615657369066556,62.3884514435696,NA,NA,NA,NA,NA,82351,NA
"Australia",1960,8196.4,13718,16957,91085,NA,NA,1.74454,NA,NA,0.0419121263769575,48.3363802559415,NA,NA,NA,NA,NA,87421,NA
"Australia",1961,8424.4,14591,17061,91713,NA,NA,2.3996,NA,NA,0.00689465883515394,49.3781138268566,NA,NA,NA,NA,NA,91085,NA
"Australia",1962,9130,14928,18140,97444,NA,NA,0.39326,NA,NA,0.0624884149466269,50.3307607497244,NA,NA,NA,NA,NA,91713,NA
"Australia",1963,9419,16089,19793,103413,NA,NA,-0.37585,NA,NA,0.0612556955789991,47.5875309452837,NA,NA,NA,NA,NA,97444,NA
"Australia",1964,9763,17834,21690,110488,NA,NA,3.23888,NA,NA,0.0684149961803642,45.0115260488705,NA,NA,NA,NA,NA,103413,NA
"Australia",1965,10224,NA,23375,116131,NA,NA,3.38116,NA,NA,0.0510734197378901,43.7390374331551,NA,NA,NA,NA,NA,110488,NA
"Australia",1966,10639,NA,25044,119363,NA,NA,34.85693,NA,NA,0.0278306395363856,42.4812330298674,NA,NA,NA,NA,NA,116131,NA
"Australia",1967,11209,NA,27653,127422,NA,NA,2.82551,NA,NA,0.0675167346665215,40.5344808881496,NA,NA,NA,NA,NA,119363,NA
